S.No,Title,Address,Category,Contact No,District,Area
1,13C Autos,"88 Block, Shop # 11, Data Appt, SB, 13C University Rd", Mechanic, 0332 2247922,East,Gulshan
2,24 TAXI SERVICE,Federal Capital Area karachi, Car rental agency,      0345 2330511,Central,Nazimabad
3,24/7 Rent A Car Karachi,"Plot 252/C, Block_6, Shahrah-e-Faisal", Car rental agency,      0345 8129473,East,Johar
4,24Seven Services Pvt Ltd,"Office 101 & 102 Plot, 9", Car rental agency,0311 1447725,East,Gulshan
5,24Seven Travels / Tours & Car Rental Pvt Ltd,B9, Travel agency,      0311 1447725,East,Gulshan
6,3 DIAMOND AUTO CORPORATION,HOUSE :1725/5243 TIPU SULTAN ROOD NEARLY ALLIDE BANK SAEEDABAD BALDIA TOWN,      Motorcycle parts store,0321 2506730,Central,Nazimabad
7,3|c Car care & clean,"Shop no 1 plot no 8c, 8 street  0348 0229543",Car detailing service,,East,Gulshan
8,7 Star Car Wash,C1 35, Car wash,,East,Johar
9,786 Autos,W3PG+7J7, Motorcycle parts store,,Central,Gulberg
10,786 Rent a Car,Gulshan e Iqbal block 4/A, Car rental agency,0300 2255026,East,Johar
11,786 Transport Services & Rent A Car,, Car leasing service,      0321 9238098,Central,Gulberg
12,99 Auto Mart,5+ years in business  New Rd Service Ln  In Grey Skyline, Car detailing service, 0331 2306575,East,Johar
13,A a auto workshop,Street Number 28, Mechanic,      0305 3825860,Central,Nazimabad
14,A F LOGISTICS RENT A CAR & TRANSPORT SERVICE,, Car rental agency,      0321 1266881,Central,Gulberg
15,A To Zee autos,Siraj Bukhari St,      Motorcycle repair shop,,Central,Nazimabad
16,A. S Car wash & Oil change,"Jalbani Center, Kiran Hospital Rd", Car wash,,East,Johar
17,A.A Rent A Car DHA Karachi,"Plot 1C, Street, 2A Jami Commercial Street 11", Car rental agency,  0331 2342334,Central,Nazimabad
18,A.hameed auto electrician,"35+ years in business  shop No 3, 1.E-6/1 Nazimabad", Auto repair shop,0302 2952401,Central,Nazimabad
19,A.L.C.S ( Rent A Car ),Wairles gate, Car rental agency,0334 3693970,East,Johar
20,A.R Autos,W49M+RPP, Motor scooter repair shop, 0314 2170241,East,Johar
21,A Rahim Car Workshop,nazimabad #4 near surti center,   Machine workshop,,Central,Nazimabad
22,A.T.S Motors,3+ years in business  B-54, Auto repair shop, 0300 2220004,East,Gulshan
23,A.z. Transport & Rent A car,"Football Chowrangi, L Block Rd", Transportation service,0311 3175344,Central,Nazimabad
24,A-1 Autos,"Shop#5, Maymar Drive Apartments, Rashid Minhas Rd", Auto parts store,,East,Gulshan
25,A-1 Oil Traders,"PLOT WS 01, BLOCK7, MUKKA CHOWK  In Aisha manzil", Oil change service,      0336 2122116,Central,Gulberg
26,A2Z Auto Care Workshop,"Shop L56 Baloch Colony opp. City School shaheed e Millat, Rd", Auto repair shop, 0322 2909299,East,Johar
27,AA Car Services,"Munawar centre Pakistan ave, opp. Bin hashim", Car rental agency,,East,Johar
28,AA Tyre Corporation,"corner castle building, Main M.A Jinnah Rd, opp. Bahadurshah Zafar Market", Importer, (021) 32729906,East,Johar
29,AA WORKS,Gulistan-e-Jauhar-Malir Cantt Rd, Auto repair shop,,East,Johar
30,AAA State Life Insurance Office Karachi (Gulshan e Iqbal),"Islamic plaza, A, 8", Insurance company, 0300 2226114,,
31,Aamir Auto Work Shop,Pehlwan Goth Rd, Wheel alignment service, 0304 8239584,East,Johar
32,Aamir Shah,Aamir Shah Rent a car, Car rental agency, 0306 7908377,Central,Nazimabad
33,Aastana Motors,, Car rental agency,      0333 3126512,East,Gulshan
34,AATRACKER PVT LTD.,"2nd & 3rd Floor, 81-C 11th Commercial St", Business center, 0311 1228111,,
35,AB Shah tyre shop,"511, 1", Used tire shop,,East,Johar
36,AB Tyres,"Shop No. 4, Urdu Bazar, Mohan Rd", Tire shop, 0345 3189767,East,Johar
37,ABB Power & Automation Pvt Ltd. (Regional Office),Shahrah-e-Faisal Service Rd N, Corporate office, (021) 111 175 222,,
38,ABB Turbocharger.,"St 2/9. A, Sector 23/A, Korangi Industrial Area، Sindh", Corporate office, (021) 37130743,,
39,Abbass Autoshop,3+ years in business  W3MH+39J, Mechanic,,Central,Gulberg
40,A.R.M RENT A CAR & TRANSPORT SERVICES,V28M+6RX,   Car rental agency, 0313 2071512,East,Johar
